id,nombre
PT0000001,"Engineer, land"
PT0000002,"Therapist, speech and language"
PT0000003,Agricultural consultant
PT0000004,Financial adviser
PT0000005,Broadcast journalist
PT0000006,Chief Financial Officer
PT0000007,"Runner, broadcasting/film/video"
PT0000008,Textile designer
PT0000009,Newspaper journalist
PT0000010,Location manager
PT0000011,"Designer, ceramics/pottery"
PT0000012,Financial risk analyst
PT0000013,Armed forces technical officer
PT0000014,"Engineer, building services"
PT0000015,Geophysical data processor
PT0000016,Archivist
PT0000017,Veterinary surgeon
PT0000018,Commissioning editor
PT0000019,"Buyer, industrial"
PT0000020,Fitness centre manager
PT0000021,Glass blower/designer
PT0000022,Mental health nurse
PT0000023,Paramedic
PT0000024,Learning mentor
PT0000025,Immunologist
PT0000026,"Surveyor, commercial/residential"
PT0000027,Oceanographer
PT0000028,Technical brewer
PT0000029,Financial controller
PT0000030,Facilities manager
PT0000031,Magazine journalist
PT0000032,Marine scientist
PT0000033,Race relations officer
PT0000034,"Engineer, communications"
PT0000035,Intelligence analyst
PT0000036,Health and safety inspector
PT0000037,Retail merchandiser
PT0000038,Plant breeder/geneticist
PT0000039,Personal assistant
PT0000040,Armed forces logistics/support/administrative off
PT0000041,"Surveyor, rural practice"
PT0000042,"Therapist, art"
PT0000043,Purchasing manager
PT0000044,Tourism officer
PT0000045,Airline pilot
PT0000046,Architect
PT0000047,Pathologist
PT0000048,Television/film/video producer
PT0000049,"Engineer, electronics"
PT0000050,"Nurse, learning disability"
PT0000051,"Optician, dispensing"
PT0000052,Sales executive
PT0000053,Advertising art director
PT0000054,"Engineer, manufacturing"
PT0000055,Special educational needs teacher
PT0000056,Building control surveyor
PT0000057,Insurance risk surveyor
PT0000058,"Engineer, drilling"
PT0000059,Museum/gallery curator
PT0000060,Podiatrist
PT0000061,"Chemist, analytical"
PT0000062,Ranger/warden
PT0000063,"Teacher, early years/pre"
PT0000064,Claims inspector/assessor
PT0000065,Hydrologist
PT0000066,"Accountant, chartered management"
PT0000067,IT sales professional
PT0000068,Field seismologist
PT0000069,Ceramics designer
PT0000070,Geochemist
PT0000071,Advertising art director
PT0000072,Chief Operating Officer
PT0000073,"Editor, commissioning"
PT0000074,"Engineer, biomedical"
PT0000075,Amenity horticulturist
PT0000076,Acupuncturist
PT0000077,General practice doctor
PT0000078,Higher education lecturer
PT0000079,Comptroller
PT0000080,Catering manager
PT0000081,Psychotherapist
PT0000082,Arboriculturist
PT0000083,Patent attorney
PT0000084,"Presenter, broadcasting"
PT0000085,Mechanical engineer
PT0000086,Museum/gallery conservator
PT0000087,Farm manager
PT0000088,"Psychologist, forensic"
PT0000089,Media planner
PT0000090,"Buyer, industrial"
PT0000091,TEFL teacher
PT0000092,Communications engineer
PT0000093,"Lecturer, higher education"
PT0000094,Academic librarian
PT0000095,"Civil engineer, contracting"
PT0000096,Engineering geologist
PT0000097,Furniture designer
PT0000098,Chiropodist
PT0000099,"Therapist, speech and language"
PT0000100,Training and development officer
PT0000101,Musician
PT0000102,Geochemist
PT0000103,Television floor manager
PT0000104,Fish farm manager
PT0000105,Broadcast journalist
PT0000106,Trade union research officer
PT0000107,Ambulance person
PT0000108,Production engineer
PT0000109,Outdoor activities/education manager
PT0000110,Music therapist
PT0000111,Financial risk analyst
PT0000112,Volunteer coordinator
PT0000113,Hydrologist
PT0000114,Health and safety adviser
PT0000115,Facilities manager
PT0000116,Soil scientist
PT0000117,Magazine journalist
PT0000118,Bookseller
PT0000119,Ecologist
PT0000120,Ambulance person
PT0000121,"Therapist, art"
PT0000122,"Surveyor, commercial/residential"
PT0000123,Patent examiner
PT0000124,Patent examiner
PT0000125,Herbalist
PT0000126,Equality and diversity officer
PT0000127,Clinical embryologist
PT0000128,Horticultural consultant
PT0000129,Physiological scientist
PT0000130,Leisure centre manager
PT0000131,Advertising art director
PT0000132,"Designer, textile"
PT0000133,Astronomer
PT0000134,"Producer, television/film/video"
PT0000135,Health promotion specialist
PT0000136,"Engineer, structural"
PT0000137,"Journalist, broadcasting"
PT0000138,"Therapist, horticultural"
PT0000139,Estate agent
PT0000140,Video editor
PT0000141,"Administrator, charities/voluntary organisations"
PT0000142,Senior tax professional/tax inspector
PT0000143,Medical secretary
PT0000144,Public relations officer
PT0000145,Dramatherapist
PT0000146,Software engineer
PT0000147,"Restaurant manager, fast food"
PT0000148,Chiropractor
PT0000149,Clinical molecular geneticist
